Restaurant,SubCategory,Item,Calories
Jack in the Box,Coffe,Kona ClassicÂ® Decaf Coffee Small,5
Jack in the Box,Iced Tea,"Flavored Iced Tea, Mango 24 fl oz.",80
Jack in the Box,Iced Tea,"Flavored Iced Tea, Peach 24 fl oz.",80
Jack in the Box,Iced Tea,"Flavored Iced Tea, Raspberry 24 fl oz.",80
Jack in the Box,Iced Tea,Gold PeakÂ® Fresh Brewed Iced Tea Large,5
Jack in the Box,Iced Tea,Gold PeakÂ® Fresh Brewed Iced Tea Medium,5
Jack in the Box,Iced Tea,Gold PeakÂ® Fresh Brewed Iced Tea Small,5
Jack in the Box,Iced Tea,Gold PeakÂ® Fresh Brewed Iced Tea Value,0
Jack in the Box,Juice,Hi-CÂ® Fruit Punch Large,580
Jack in the Box,Juice,Hi-CÂ® Fruit Punch Medium,420
Jack in the Box,Juice,Hi-CÂ® Fruit Punch Small,260
Jack in the Box,Juice,Hi-CÂ® Fruit Punch Value,160
Jack in the Box,Juice,Minute MaidÂ® Lemonade Large,490
Jack in the Box,Juice,Minute MaidÂ® Lemonade Medium,350
Jack in the Box,Juice,Minute MaidÂ® Lemonade Small,220
Jack in the Box,Juice,Minute MaidÂ® Lemonade Value,130
Jack in the Box,Juice,Minute MaidÂ® Orange Juice 10 fl oz.,140
Jack in the Box,Milk,Reduced Fat Milk Chug 2%,120
Jack in the Box,Shake,Mango Smoothie Large,450
Jack in the Box,Shake,Mango Smoothie Small,290
Jack in the Box,Shake,Strawberry Banana Smoothie Large,440
Jack in the Box,Shake,Strawberry Banana Smoothie Small,290
Jack in the Box,Shake,Strawberry Smoothie Large,400
Jack in the Box,Shake,Strawberry Smoothie Small,270
Jack in the Box,Shake,Chocolate Shake w/ Whipped Topping Large,1150
Jack in the Box,Shake,Chocolate Shake w/ Whipped Topping Small,800
Jack in the Box,Shake,OreoÂ® Cookie Shake w/ Whipped Topping Large,1170
Jack in the Box,Shake,OreoÂ® Cookie Shake w/ Whipped Topping Small,810
Jack in the Box,Shake,Strawberry Shake w/ Whipped Topping Large,1120
Jack in the Box,Shake,Strawberry Shake w/ Whipped Topping Small,780
Jack in the Box,Shake,Vanilla Shake w/ Whipped Topping Large,1000
Jack in the Box,Shake,Vanilla Shake w/ Whipped Topping Small,700
Jack in the Box,Soda,Barq'sÂ® Root Beer Large,550
Jack in the Box,Soda,Barq'sÂ® Root Beer Medium,400
Jack in the Box,Soda,Barq'sÂ® Root Beer Small,250
Jack in the Box,Soda,Barq'sÂ® Root Beer Value,150
Jack in the Box,Soda,Bottled Water,0
Jack in the Box,Soda,Chocolate Lowfat Milk Chug,180
Jack in the Box,Soda,Coca-Cola ClassicÂ® Large,500
Jack in the Box,Soda,Coca-Cola ClassicÂ® Medium,360
Jack in the Box,Soda,Coca-Cola ClassicÂ® Small,230
Jack in the Box,Soda,Coca-Cola ClassicÂ® Value,140
Jack in the Box,Soda,Diet CokeÂ® Large,5
Jack in the Box,Soda,Diet CokeÂ® Medium,5
Jack in the Box,Soda,Diet CokeÂ® Small,0
Jack in the Box,Soda,Diet CokeÂ® Value,0
Jack in the Box,Soda,Diet Dr PepperÂ® Large,0
Jack in the Box,Soda,Diet Dr PepperÂ® Medium,0
Jack in the Box,Soda,Diet Dr PepperÂ® Small,0
Jack in the Box,Soda,Diet Dr PepperÂ® Value,0
Jack in the Box,Soda,Dr PepperÂ® Large,500
Jack in the Box,Soda,Dr PepperÂ® Medium,360
Jack in the Box,Soda,Dr PepperÂ® Small,230
Jack in the Box,Soda,Dr PepperÂ® Value,140
Jack in the Box,Soda,FantaÂ® Orange Large,450
Jack in the Box,Soda,FantaÂ® Orange Medium,330
Jack in the Box,Soda,FantaÂ® Orange Small,210
Jack in the Box,Soda,FantaÂ® Orange Value,120
Jack in the Box,Soda,FantaÂ® Strawberry Large,450
Jack in the Box,Soda,FantaÂ® Strawberry Medium,330
Jack in the Box,Soda,FantaÂ® Strawberry Small,210
Jack in the Box,Soda,FantaÂ® Strawberry Value,120
Jack in the Box,Soda,SpriteÂ® Large,490
Jack in the Box,Soda,SpriteÂ® Medium,350
Jack in the Box,Soda,SpriteÂ® Small,220
Jack in the Box,Soda,SpriteÂ® Value,130
McDonald's,Coffee,Coffee,0
McDonald's,Coffee,Iced Coffee Caramel,190
McDonald's,Coffee,Iced Coffee French Vanilla,190
McDonald's,Coffee,Iced Coffee Hazelnut,190
McDonald's,Coffee,Iced Coffee Regular,200
McDonald's,Coffee,Iced Coffee Sugar Free French Vanilla,90
McDonald's,Coffee,Iced Mocha Caramel,300
McDonald's,Coffee,Iced Mocha Nonfat,270
McDonald's,Coffee,Iced Mocha Nonfat Caramel,230
McDonald's,Coffee,Iced Mocha Regular,310
McDonald's,Coffee,Latte Caramel,280
McDonald's,Coffee,Latte French Vanilla,280
McDonald's,Coffee,Latte Hazelnut,280
McDonald's,Coffee,Latte Regular,180
McDonald's,Coffee,Latte Sugar Free French Vanilla,160
McDonald's,Coffee,Mocha Caramel,290
McDonald's,Coffee,Mocha Nonfat,280
McDonald's,Coffee,Mocha Nonfat Caramel,240
McDonald's,Coffee,Mocha Regular,330
McDonald's,Coffee,Nonfat Latte Caramel,220
McDonald's,Coffee,Nonfat Latte French Vanilla,220
McDonald's,Coffee,Nonfat Latte Hazelnut,220
McDonald's,Coffee,Nonfat Latte Regular,110
McDonald's,Coffee,Nonfat Latte Sugar Free French Vanilla,90
McDonald's,Coffee,Shamrock Mocha Large,490
McDonald's,Coffee,Shamrock Mocha Medium,400
McDonald's,Coffee,Shamrock Mocha Small,330
McDonald's,Hot Chocolate,Hot Chocolate Nonfat,310
McDonald's,Hot Chocolate,Hot Chocolate Regular,380
McDonald's,Hot Chocolate,McCafÃ© Caramel Hot Chocolate w/ Nonfat Milk,260
McDonald's,Hot Chocolate,Mocha White Chocolate,320
McDonald's,Hot Chocolate,Shamrock Hot Chocolate Large,280
McDonald's,Hot Chocolate,White Hot Chocolate,350
McDonald's,Iced Tea,Iced Tea,0
McDonald's,Iced Tea,Sweet Tea,180
McDonald's,Juice,Hi-C Orange Lavaburst,240
McDonald's,Juice,McCafÃ© Classic Lemonade,100
McDonald's,Juice,McCafÃ© Strawberry Lemonade,120
McDonald's,Juice,Minute Maid Apple Juice Box,100
McDonald's,Juice,Minute MaidÂ® Orange Juice,190
McDonald's,Juice,POWERade Mountain Berry Blast,150
McDonald's,Juice,Red Flash Extra Small,110
McDonald's,Juice,Red Flash Large,300
McDonald's,Juice,Red Flash Medium,220
McDonald's,Juice,Red Flash Small,150
McDonald's,Milk,1% Low Fat Milk Jug,100
McDonald's,Milk,Fat Free Chocolate Milk Jug,130
McDonald's,Shake,Blueberry Pomegranate Smoothie,220
McDonald's,Shake,Mango Pineapple Smoothie,220
McDonald's,Shake,Strawberry Banana Smoothie,210
McDonald's,Shake,Frappe Caramel,450
McDonald's,Shake,Frappe Chocolate Chip,530
McDonald's,Shake,Mocha Frappe,450
McDonald's,Shake,Oreo FrappÃ©,540
McDonald's,Shake,Shamrock Chocolate Chip FrappÃ© Large,900
McDonald's,Shake,Shamrock Chocolate Chip FrappÃ© Medium,680
McDonald's,Shake,Shamrock Chocolate Chip FrappÃ© Small,570
McDonald's,Slush,McCafÃ© Frozen Classic Lemonade,160
McDonald's,Slush,McCafÃ© Frozen Strawberry Lemonade,180
McDonald's,Soda,Coca-Cola Classic,210
McDonald's,Soda,Diet Coke,0
McDonald's,Soda,Diet Dr Pepper,0
McDonald's,Soda,Dr Pepper,210
McDonald's,Soda,Sprite,210
McDonald's,Water,DasaniÂ© Water,0
Popeye's,Coffee,Coffee,0
Popeye's,Iced Tea,Sweet Tea,180
Popeye's,Iced Tea,Unsweetened Tea,0
Popeye's,Juice,Orange Juice,140
Popeye's,Soda,Coke,230
Popeye's,Soda,Diet Coke,0
Popeye's,Soda,Diet Pepsi,0
Popeye's,Soda,Dr Pepper,250
Popeye's,Soda,Fanta Orange,300
Popeye's,Soda,Fanta Strawberry,300
Popeye's,Soda,Hawaiian Punch,175
Popeye's,Soda,Mountain Dew,290
Popeye's,Soda,Pepsi,200
Popeye's,Soda,Sprite,210
Sonic,Iced Tea,Blackberry Diet Green Iced Tea Gallon,50
Sonic,Iced Tea,Blackberry Diet Green Iced Tea Large,10
Sonic,Iced Tea,Blackberry Diet Green Iced Tea Medium,5
Sonic,Iced Tea,Blackberry Diet Green Iced Tea Route 44,10
Sonic,Iced Tea,Blackberry Diet Green Iced Tea Small,0
Sonic,Iced Tea,Blackberry Diet Green Iced Tea Wacky Pack,0
Sonic,Iced Tea,Blackberry Green Iced Tea Gallon,1100
Sonic,Iced Tea,Blackberry Green Iced Tea Large,210
Sonic,Iced Tea,Blackberry Green Iced Tea Medium,120
Sonic,Iced Tea,Blackberry Green Iced Tea Route 44,270
Sonic,Iced Tea,Blackberry Green Iced Tea Small,100
Sonic,Iced Tea,Blackberry Green Iced Tea Wacky Pack,60
Sonic,Iced Tea,Blackberry Sweet Iced Tea Gallon,1560
Sonic,Iced Tea,Blackberry Sweet Iced Tea Large,300
Sonic,Iced Tea,Blackberry Sweet Iced Tea Medium,180
Sonic,Iced Tea,Blackberry Sweet Iced Tea Route 44,380
Sonic,Iced Tea,Blackberry Sweet Iced Tea Small,140
Sonic,Iced Tea,Blackberry Sweet Iced Tea Wacky Pack,80
Sonic,Iced Tea,Blackberry Unsweet Iced Tea Gallon,50
Sonic,Iced Tea,Blackberry Unsweet Iced Tea Large,10
Sonic,Iced Tea,Blackberry Unsweet Iced Tea Medium,5
Sonic,Iced Tea,Blackberry Unsweet Iced Tea Route 44,10
Sonic,Iced Tea,Blackberry Unsweet Iced Tea Small,0
Sonic,Iced Tea,Blackberry Unsweet Iced Tea Wacky Pack,0
Sonic,Iced Tea,Cranberry Tea Large,60
Sonic,Iced Tea,Cranberry Tea Medium,40
Sonic,Iced Tea,Cranberry Tea Route 44,80
Sonic,Iced Tea,Cranberry Tea Small,20
Sonic,Iced Tea,Cranberry Tea Wacky Pack,20
Sonic,Iced Tea,Diet Green Tea Large,5
Sonic,Iced Tea,Diet Green Tea Medium,5
Sonic,Iced Tea,Diet Green Tea Route 44,10
Sonic,Iced Tea,Diet Green Tea Small,5
Sonic,Iced Tea,Diet Green Tea Wacky Pack,0
Sonic,Iced Tea,Green Tea Large,210
Sonic,Iced Tea,Green Tea Medium,140
Sonic,Iced Tea,Green Tea Route 44,290
Sonic,Iced Tea,Green Tea Small,110
