Restaurant,Category,SubCategory,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Arby's,Condiment,Sauce,Ranch Dipping Sauce,160,140,16,4,0,30,280,2,0,1,1
Arby's,Condiment,Sauce,Spicy Three Pepper,25,10,1,0,0,0,130,3,0,3,0
Arby's,Condiment,Sauce,Tangy Barbeque Sauce,45,0,0,0,0,0,350,11,0,8,0
Arby's,Dessert,Cookie,Salted Caramel & Chocolate Cookie,430,160,18,10,0,30,360,63,1,33,4
Arby's,Dessert,Cookie,Triple Chocolate Cookie,450,190,21,13,0,40,370,60,2,31,5
Arby's,Dessert,Pastry,Apple Turnover,430,160,18,9,0,0,210,64,2,39,4
Arby's,Dessert,Pastry,Cherry Turnover,390,120,13,6,0,0,200,64,2,40,4
Arby's,Salad,Salad,Chopped Farmhouse Chicken Salad – Crispy,430,220,24,9,0,65,1000,26,4,5,29
Arby's,Salad,Salad,Chopped Farmhouse Salad - Roast Turkey,240,120,13,7,0,60,760,10,3,5,22
Arby's,Salad,Salad,Chopped Side Salad,80,45,5,3,0,15,105,5,2,2,5
Arby's,Sandwich,Burger,Corned Beef 'n Cheese Slider,220,80,9,3.5,0,30,890,21,1,1,14
Arby's,Sandwich,Burger,Ham 'n Cheese Slider,210,70,8,3,0,25,780,21,1,2,13
Arby's,Sandwich,Burger,Jalapeno Roast Beef 'n Cheese Slider,240,90,11,4.5,0,30,670,21,1,1,14
Arby's,Sandwich,Burger,Roast Beef 'n Cheese Slider,240,90,11,4.5,0,30,670,21,1,1,14
Arby's,Sandwich,Chicken,Buffalo Chicken Slider,290,120,13,2,0,20,860,31,2,2,12
Arby's,Sandwich,Chicken,Chicken Tender 'n Cheese Slider,290,110,12,3.5,0,25,720,30,1,1,15
Arby's,Sandwich,Chicken,Pecan Chicken Salad Sandwich,840,410,46,7,0.5,65,1190,83,6,18,28
Arby's,Sandwich,Chicken,Jr Chicken Sandwich,320,130,15,3,0,25,680,33,2,4,13
Arby's,Sandwich,Flatbread,Chicken Fajita Flatbread Mild,570,250,28,8,0,210,1290,49,3,6,30
Arby's,Sandwich,Flatbread,Chicken Fajita Flatbread Spicy,570,250,28,8,0,210,1280,49,3,6,31
Arby's,Sandwich,Flatbread,Pecan Chicken Salad Flatbread,710,410,46,7,0.5,65,980,53,4,9,22
Arby's,Sandwich,Flatbread,Steak Fajita Flatbread Mild,580,260,29,9,0.5,195,1520,51,3,6,31
